label,query,hits,totalRunTimeMs,avgRunTimeMs,lastRunTimeMs
0,q=text_t%3Awater+shortages,0,59,5.9,5
0,q=text_t%3AFlorida+Derby+2013,0,56,5.6,6
0,q=text_t%3AKal+Penn,0,68,6.8,6
0,q=text_t%3ADetroit+EFM+Undemocratic,0,61,6.1,6
0,q=text_t%3Amemories+of+Mr.+Rogers,0,65,6.5,7
0,q=text_t%3AChinese+Computer+Attacks,0,59,5.9,5
0,q=text_t%3Amarshmallow+Peeps+dioramas,0,58,5.8,6
0,q=text_t%3AIsrael+and+Turkey+reconcile,0,81,8.1,6
0,q=text_t%3Acolony+collapse+disorder,0,60,6.0,6
0,q=text_t%3AArgentina%27s+Inflation,0,66,6.6,7
0,q=text_t%3AFuture+of+MOOCs,0,56,5.6,5
0,q=text_t%3Aunsuccessful+kickstarter+applicants,0,59,5.9,6
0,q=text_t%3Asolar+flare,0,66,6.6,6
0,q=text_t%3Acelebrity+DUI,0,61,6.1,6
0,q=text_t%3AOscars+snub+Affleck,0,66,6.6,6
0,q=text_t%3APitbull+rapper,0,56,5.6,6
0,q=text_t%3AHagel+nomination+filibustered,0,58,5.8,5
0,q=text_t%3ABuying+clothes+online,0,69,6.9,7
0,q=text_t%3AAngry+Birds+cartoon,0,60,6.0,6
0,q=text_t%3ALawyer+jokes,0,64,6.4,6
0,q=text_t%3Atrash+the+dress,0,57,5.7,6
0,q=text_t%3Aasteroid+hits+Russia,0,56,5.6,5
0,q=text_t%3Acruise+ship+safety,0,67,6.7,7
0,q=text_t%3AThe+Middle+TV+show,0,59,5.9,5
0,q=text_t%3ABig+Dog+terminator+robot,0,65,6.5,7
0,q=text_t%3AGone+Girl+reviews,0,57,5.7,6
0,q=text_t%3Acause+of+the+Super+Bowl+blackout,0,63,6.3,6
0,q=text_t%3ANew+York+City+soda+ban+blocked,0,66,6.6,6
0,q=text_t%3AArtists+Against+Fracking,0,60,6.0,6
0,q=text_t%3ARichard+III+burial+dispute,0,65,6.5,6
0,q=text_t%3AMila+Kunis+in+Oz+movie,0,58,5.8,6
0,q=text_t%3AIranian+weapons+to+Syria,0,59,5.9,6
0,q=text_t%3AMaracana+Stadium+problems,0,66,6.6,7
0,q=text_t%3ADownton+Abbey+actor+turnover,0,61,6.1,6
0,q=text_t%3ANational+Parks+sequestered,0,66,6.6,7
0,q=text_t%3AGMO+labeling,0,59,5.9,6
0,q=text_t%3AVictoria%27s+Secret+commercial,0,56,5.6,5
0,q=text_t%3ACyprus+Bailout+Protests,0,68,6.8,7
0,q=text_t%3Amaking+football+safer,0,60,6.0,6
0,q=text_t%3AUK+wine+industry,0,65,6.5,7
0,q=text_t%3Agun+advocates+are+corrupt,0,55,5.5,6
0,q=text_t%3AIceland+FBI+Wikileaks,0,56,5.6,6
0,q=text_t%3Alighter+bail+for+Pistorius,0,65,6.5,6
0,q=text_t%3Aanti-aging+resveratrol,0,73,7.3,17
0,q=text_t%3AObama+reaction+to+Syrian+chemical+weapons,0,66,6.6,7
0,q=text_t%3ABush%27s+dog+dies,0,87,8.7,7
0,q=text_t%3AKardashian+maternity+style,0,60,6.0,10
0,q=text_t%3Ahush+puppies+meal,0,65,6.5,7
0,q=text_t%3Acircular+economy+initiatives,0,59,5.9,6
0,q=text_t%3Asocial+media+as+educational+tool,0,65,6.5,7
0,q=text_t%3A3D+printing+for+science,0,58,5.8,6
0,q=text_t%3ADPRK+Nuclear+Test,0,58,5.8,6
0,q=text_t%3Avirtual+currencies+regulation,0,64,6.4,7
0,q=text_t%3ALindsey+Vonn+sidelined,0,60,6.0,6
0,q=text_t%3AACPT+Crossword+Tournament,0,111,11.1,7
0,q=text_t%3AMaryland+casino+table+games,0,100,10.0,6
0,q=text_t%3Asequestration+opinions,0,81,8.1,6
0,q=text_t%3AUS+behind+Chaevez+cancer,0,67,6.7,7
0,q=text_t%3AHoney+Boo+Boo+Girl+Scout+cookies,0,63,6.3,5
0,q=text_t%3ATony+Mendez,0,66,6.6,7
5000000,q=text_t%3Awater+shortages,2889,134,13.4,12
5000000,q=text_t%3AFlorida+Derby+2013,1047,111,11.1,11
5000000,q=text_t%3AKal+Penn,175,117,11.7,12
5000000,q=text_t%3ADetroit+EFM+Undemocratic,324,119,11.9,12
5000000,q=text_t%3Amemories+of+Mr.+Rogers,1743,121,12.1,12
5000000,q=text_t%3AChinese+Computer+Attacks,1065,123,12.3,11
5000000,q=text_t%3Amarshmallow+Peeps+dioramas,37,112,11.2,11
5000000,q=text_t%3AIsrael+and+Turkey+reconcile,513,113,11.3,10
5000000,q=text_t%3Acolony+collapse+disorder,45,120,12.0,12
5000000,q=text_t%3AArgentina%27s+Inflation,4,100,10.0,9
5000000,q=text_t%3AFuture+of+MOOCs,2972,124,12.4,10
5000000,q=text_t%3Aunsuccessful+kickstarter+applicants,21,103,10.3,10
5000000,q=text_t%3Asolar+flare,302,110,11.0,10
5000000,q=text_t%3Acelebrity+DUI,512,117,11.7,11
5000000,q=text_t%3AOscars+snub+Affleck,133,117,11.7,10
5000000,q=text_t%3APitbull+rapper,275,121,12.1,10
5000000,q=text_t%3AHagel+nomination+filibustered,48,539,53.9,11
5000000,q=text_t%3ABuying+clothes+online,815,137,13.7,10
5000000,q=text_t%3AAngry+Birds+cartoon,1402,126,12.6,11
5000000,q=text_t%3ALawyer+jokes,182,116,11.6,10
5000000,q=text_t%3Atrash+the+dress,539,123,12.3,10
5000000,q=text_t%3Aasteroid+hits+Russia,24,108,10.8,10
5000000,q=text_t%3Acruise+ship+safety,324,110,11.0,10
5000000,q=text_t%3AThe+Middle+TV+show,359250,121,12.1,11
5000000,q=text_t%3ABig+Dog+terminator+robot,11595,116,11.6,10
5000000,q=text_t%3AGone+Girl+reviews,5983,120,12.0,10
5000000,q=text_t%3Acause+of+the+Super+Bowl+blackout,9580,194,19.4,12
5000000,q=text_t%3ANew+York+City+soda+ban+blocked,45944,176,17.6,10
5000000,q=text_t%3AArtists+Against+Fracking,540,120,12.0,11
5000000,q=text_t%3ARichard+III+burial+dispute,530,109,10.9,10
5000000,q=text_t%3AMila+Kunis+in+Oz+movie,209,132,13.2,11
5000000,q=text_t%3AIranian+weapons+to+Syria,40,113,11.3,10
5000000,q=text_t%3AMaracana+Stadium+problems,2,87,8.7,9
5000000,q=text_t%3ADownton+Abbey+actor+turnover,52,117,11.7,10
5000000,q=text_t%3ANational+Parks+sequestered,1607,124,12.4,11
5000000,q=text_t%3AGMO+labeling,47,120,12.0,10
5000000,q=text_t%3AVictoria%27s+Secret+commercial,130,111,11.1,10
5000000,q=text_t%3ACyprus+Bailout+Protests,369,110,11.0,10
5000000,q=text_t%3Amaking+football+safer,6353,120,12.0,11
5000000,q=text_t%3AUK+wine+industry,2258,111,11.1,10
5000000,q=text_t%3Agun+advocates+are+corrupt,1999,121,12.1,11
5000000,q=text_t%3AIceland+FBI+Wikileaks,57,114,11.4,10
5000000,q=text_t%3Alighter+bail+for+Pistorius,220,117,11.7,11
5000000,q=text_t%3Aanti-aging+resveratrol,1188,118,11.8,11
5000000,q=text_t%3AObama+reaction+to+Syrian+chemical+weapons,1844,111,11.1,10
5000000,q=text_t%3ABush%27s+dog+dies,18,118,11.8,10
5000000,q=text_t%3AKardashian+maternity+style,273,114,11.4,11
5000000,q=text_t%3Ahush+puppies+meal,274,107,10.7,11
5000000,q=text_t%3Acircular+economy+initiatives,52,114,11.4,10
5000000,q=text_t%3Asocial+media+as+educational+tool,3511,116,11.6,10
5000000,q=text_t%3A3D+printing+for+science,842,127,12.7,11
5000000,q=text_t%3ADPRK+Nuclear+Test,7,102,10.2,10
5000000,q=text_t%3Avirtual+currencies+regulation,317,112,11.2,10
5000000,q=text_t%3ALindsey+Vonn+sidelined,101,123,12.3,11
5000000,q=text_t%3AACPT+Crossword+Tournament,0,60,6.0,6
5000000,q=text_t%3AMaryland+casino+table+games,208,124,12.4,11
5000000,q=text_t%3Asequestration+opinions,68,114,11.4,11
5000000,q=text_t%3AUS+behind+Chaevez+cancer,17750,116,11.6,12
5000000,q=text_t%3AHoney+Boo+Boo+Girl+Scout+cookies,1045,117,11.7,11
